tick,id,x,y,z,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,contacts
33,23,0.566468,2.036863,-0.238725,-1.564874,5.951199,-0.472754,-0.099679,0.259326,-0.215865,0.936064,-4.055305,10.550366,-8.782228,0
33,24,-0.797775,1.988240,0.223151,-3.044287,4.982308,0.162413,0.111931,-0.089718,0.130923,0.980959,4.484820,-3.594791,5.245795,0
33,25,-0.337796,2.074934,0.184401,-2.446903,6.709821,-0.609723,-0.125017,-0.153192,0.136809,0.970663,-5.026550,-6.159393,5.500679,0
33,26,0.348751,2.075554,0.161521,2.665193,6.722174,-1.065653,-0.171020,-0.103171,0.048572,0.978646,-6.857713,-4.137025,1.947688,0
33,27,0.618599,2.026445,0.235676,-0.526090,5.743603,0.412010,-0.230928,0.090621,0.126341,0.960468,-9.317062,3.656211,5.097370,0
33,28,-0.483977,2.085157,0.667052,3.208640,6.913540,0.439428,0.000131,0.245652,0.017730,0.969196,0.005290,9.881837,0.713241,0
33,29,-0.319826,2.008575,0.513778,-2.088830,5.387506,-2.614813,-0.287450,-0.034466,-0.084929,0.953400,-11.625427,-1.393917,-3.434788,0
33,30,0.216082,2.062403,0.510122,0.021559,6.460116,-2.687649,0.279785,0.068523,0.090508,0.953327,11.315704,2.771373,3.660509,0
33,31,0.552068,1.969986,0.770912,-1.851822,4.618572,2.509004,-0.077065,0.257150,-0.168904,0.948370,-3.122122,10.417819,-6.842764,0
34,0,-0.566579,1.686194,-0.642818,1.169839,5.515889,0.032552,0.268833,-0.089777,-0.252773,0.925081,8.214691,-2.743295,-7.723943,0
34,1,-0.388744,1.717159,-0.808077,-2.591824,5.977793,-2.432698,-0.343412,0.165311,0.326010,0.865135,-10.716434,5.158640,10.173382,0
34,2,0.386790,1.579994,-0.833931,2.562676,3.931648,-2.818365,-0.146525,0.074831,0.263891,0.950417,-4.438546,2.266781,7.993834,0
34,3,0.560239,1.630458,-0.413910,-1.264412,4.684448,3.447273,0.195392,0.274016,-0.333280,0.880717,6.063756,8.503796,-10.342958,0
34,4,-0.684128,1.697072,-0.299337,-0.583691,5.678159,-1.258087,0.048806,0.125506,0.228933,0.964083,1.471579,3.784230,6.902709,0
34,5,-0.039301,1.707259,-0.215160,2.620979,5.830118,-0.002393,0.208615,-0.033097,-0.138986,0.967506,6.282813,-0.996769,-4.185796,0
34,6,0.132172,1.743952,-0.219706,-1.235584,6.377476,-0.070205,0.313001,0.314996,0.081827,0.892251,9.674280,9.735949,2.529125,0
34,7,0.469888,1.750224,-0.279690,-2.612225,6.471045,-0.965011,0.319621,-0.073205,-0.297718,0.896575,9.863921,-2.259196,-9.187955,0
34,8,-0.446936,1.711382,0.297147,2.954602,5.891626,1.225420,0.003125,-0.322081,0.364262,0.873823,0.097205,-10.019832,11.332069,0
34,9,-0.312019,1.701640,0.358875,-1.447275,5.746290,2.146250,-0.314673,-0.288616,-0.246288,0.870071,-9.802383,-8.990688,-7.672143,0
34,10,0.038806,1.642210,0.385733,-2.628364,4.859756,2.546900,-0.314648,0.333655,-0.342532,0.819965,-9.979732,10.582580,-10.864120,0
34,11,0.427845,1.573409,0.172432,-3.239396,3.833419,-0.635004,-0.350021,0.345792,-0.321535,0.809030,-11.146051,11.011379,-10.238946,0
34,12,-0.630003,1.662539,0.767456,0.223720,5.163002,1.826739,-0.157035,0.090154,0.059294,0.981680,-4.706832,2.702188,1.777214,0
34,13,-0.396890,1.660252,0.876040,-2.713342,5.128900,3.446531,0.158002,-0.358822,-0.052185,0.918455,4.839123,-10.989626,-1.598266,0
34,14,0.435971,1.645658,0.841357,3.296326,4.911181,2.929144,-0.085195,0.072043,0.262974,0.958330,-2.573799,2.176471,7.944615,0
34,15,0.481067,1.617729,0.830134,-2.445457,4.494553,2.761733,-0.290642,0.042051,0.196848,0.935420,-8.849514,1.280382,5.993662,0
34,16,-0.500691,2.009538,-0.504418,2.152729,3.924845,2.097119,0.226357,-0.241457,-0.270633,0.904001,6.967566,-7.432366,-8.330440,0
34,17,-0.135602,2.077975,-0.428161,1.184419,4.945745,3.234681,-0.280890,-0.318792,-0.325086,0.844862,-8.829165,-10.020505,-10.218348,0
34,18,0.016161,2.119011,-0.491259,-2.966168,5.557899,2.293421,0.014101,0.315435,0.152417,0.936521,0.429201,9.600780,4.639055,0
34,19,0.678985,2.061638,-0.642960,0.506971,4.702041,0.030434,-0.134999,-0.169117,0.187223,0.958187,-4.078592,-5.109366,5.656409,0
